n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
203	916031.9	23022.81	825215	984510	862558	876445	887003	898352	906027	912123	916530	921638	927303	934022	943894	952280	960190
204	930085.6	23359.02	841792	1011403	877692	889548	901090	912452	920114	925699	930520	935741	941043	948255	957682	967111	974069
205	942920.3	22935.99	847017	1027027	891607	903672	913357	925378	932649	938767	944028	949321	953910	960493	970429	978580	985430
206	957358.7	22763.89	858052	1048098	906150	917434	928025	939311	947568	953393	958664	963406	969255	975263	984246	992581	998523
207	970399.3	22482.2	883083	1051168	923797	931045	941684	952003	959319	965761	971041	976017	981564	988466	998398	1006281	1011381
208	984535	23976.58	897866	1076653	928183	943142	953414	966412	974291	980412	985258	989984	995557	1002884	1013316	1021335	1028673
209	998821	23387.17	907184	1067031	946716	957406	969539	980658	988348	994578	1000050	1004920	1010486	1017010	1027948	1036660	1041187
210	1014619	24706.15	894723	1108219	958718	970840	983321	996913	1004581	1010255	1015293	1020944	1025817	1033602	1044033	1054162	1059567
211	1029979	24295.44	926385	1106271	977525	987771	1000115	1012686	1020032	1025612	1030410	1035535	1041133	1049169	1059826	1068447	1072951
212	1043485	25139.59	936868	1137740	987998	1001821	1010645	1024566	1033118	1039295	1044392	1049703	1055535	1061708	1074200	1085274	1091161
213	1058916	25462.9	957879	1130832	998188	1015569	1026646	1039461	1047482	1054462	1060336	1065564	1071696	1078159	1089408	1099008	1106184
214	1075040	25506.8	966575	1164065	1019358	1033231	1042456	1055110	1063072	1069774	1075996	1081925	1087474	1094618	1107298	1116184	1122340
215	1090076	25347.07	1001975	1187972	1034237	1046604	1059639	1070962	1077563	1083635	1089497	1095532	1102537	1110804	1120892	1130674	1137338
216	1104336	25030.74	1011366	1195423	1048844	1060395	1073396	1085208	1093250	1099908	1104748	1109810	1116377	1124027	1133605	1144940	1152836
217	1119597	26736.96	1005161	1218257	1058257	1073605	1085465	1099573	1108892	1115295	1120673	1126034	1131371	1139198	1150324	1161699	1170681
218	1135008	27815.29	1041135	1231352	1070580	1086619	1099458	1112538	1123413	1130106	1136097	1142062	1148679	1157728	1168538	1177303	1184780
219	1152744	27032.24	1054084	1269638	1095106	1106325	1120310	1132048	1140809	1147061	1153107	1158643	1164213	1171836	1185073	1196290	1204818
220	1166677	28566.25	1053486	1259758	1102455	1117002	1129803	1145628	1154536	1161449	1166923	1173507	1179996	1188684	1202479	1212811	1219152
