n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
234	5822.845	682.9449	4071	9094	4668	4864	5038	5247	5418	5598	5756	5898	6077	6330	6732	7017	7245
235	5852.147	656.226	4298	8738	4700	4908	5100	5296	5475	5641	5792	5951	6100	6343	6702	7052	7283
236	5923.813	685.9696	4341	8726	4717	4933	5106	5343	5546	5702	5855	6040	6198	6433	6824	7135	7334
237	5949.198	726.6504	4174	8872	4672	4893	5085	5353	5524	5687	5851	6044	6281	6545	6892	7254	7517
238	5981.628	688.7405	4476	8673	4815	4973	5157	5371	5584	5766	5918	6067	6257	6518	6917	7247	7443
239	6014.376	694.937	4256	10549	4825	5020	5188	5412	5593	5817	5961	6151	6306	6541	6835	7209	7357
240	5990.924	709.8038	4394	10282	4791	4985	5172	5385	5594	5761	5921	6100	6254	6518	6894	7171	7487
241	6075.728	728.0329	4344	10757	4845	5062	5237	5487	5658	5832	5981	6152	6344	6599	7044	7378	7674
242	6113.697	709.395	4337	9266	4929	5097	5297	5517	5702	5871	6026	6190	6408	6654	7046	7357	7605
243	6168.182	749.5909	4037	9218	4925	5097	5309	5594	5739	5901	6058	6236	6462	6719	7071	7479	7828
244	6230.013	765.2613	4566	9618	4922	5175	5358	5595	5787	5973	6128	6299	6519	6813	7265	7623	7952
245	6212.446	732.8164	4621	9715	4957	5137	5376	5600	5782	5962	6141	6293	6519	6743	7188	7523	7754
246	6302.47	755.6339	4753	9730	5061	5262	5463	5682	5860	6043	6204	6382	6586	6856	7211	7587	8134
247	6300.874	758.0384	4593	9597	5050	5212	5418	5678	5857	6041	6190	6379	6593	6889	7293	7787	7995
248	6331.999	758.5484	4493	9328	5058	5286	5447	5671	5882	6064	6232	6424	6616	6952	7372	7773	7981
249	6390.695	784.4954	4731	10358	5151	5331	5497	5744	5923	6097	6286	6471	6693	7018	7351	7760	8166
250	6460.671	797.4536	4757	10688	5158	5381	5561	5797	5978	6173	6329	6552	6783	7087	7510	7840	8230
251	6526.49	800.9002	4705	10165	5193	5382	5590	5865	6072	6257	6421	6616	6836	7140	7572	7954	8260
252	6498.81	798.1005	4809	10585	5186	5397	5607	5840	6042	6199	6413	6597	6784	7051	7541	7947	8269
253	6574.756	784.7511	4818	10287	5285	5485	5675	5919	6108	6299	6476	6667	6894	7171	7549	7954	8334
254	6609.872	792.094	4736	10077	5222	5468	5705	5929	6122	6310	6533	6744	6961	7263	7682	8024	8268
255	6641.748	797.1887	4746	10232	5281	5518	5702	5977	6177	6349	6535	6723	6974	7262	7697	8081	8307
256	6659.047	756.7492	4655	10301	5385	5563	5777	6022	6225	6417	6573	6752	6958	7228	7636	7989	8335
257	6760.101	815.0068	4905	11735	5439	5663	5827	6105	6320	6481	6648	6831	7066	7333	7822	8269	8505
258	6785.404	812.8142	4844	9991	5453	5638	5831	6090	6296	6490	6692	6902	7126	7416	7870	8257	8555
259	6841.23	802.1346	4921	10018	5466	5701	5878	6145	6395	6553	6761	6951	7165	7437	7926	8372	8573
260	6855.563	826.8626	5010	11360	5441	5745	5922	6183	6359	6565	6775	6954	7168	7455	7937	8268	8590
261	6880.959	786.0639	5003	10822	5611	5783	5958	6238	6413	6587	6744	6957	7214	7501	7970	8309	8528
262	6937.805	840.944	5033	11074	5603	5800	5972	6257	6446	6622	6836	7038	7244	7519	7988	8488	8857
263	6949.401	835.384	5248	10659	5505	5704	5968	6258	6465	6656	6840	7041	7297	7621	8058	8522	8784
264	6982.443	852.0718	4844	10014	5528	5734	6003	6282	6471	6669	6887	7078	7321	7665	8135	8546	8884
