n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
123	6050959	51022.7	5732264	6160363	5908804	5958271	5983117	6015765	6035582	6048684	6060122	6070556	6080023	6093350	6106205	6116610	6121630
124	6255107	50517.86	6010840	6356695	6127019	6159033	6189485	6218013	6237454	6251590	6263702	6275662	6283921	6295492	6311732	6319518	6325961
125	6462020	48146.43	6186071	6562894	6337611	6371282	6402882	6429282	6444240	6458857	6469344	6479510	6490538	6500222	6514050	6524055	6530278
126	6672674	53534.4	6316016	6785943	6535381	6570162	6602139	6636135	6653433	6670193	6681699	6693333	6703616	6715270	6731461	6743249	6747321
127	6888629	56382.54	6453015	7003369	6743029	6787459	6819494	6849809	6869097	6885783	6897746	6910535	6921792	6933377	6949523	6960514	6967091
128	7113172	52720.36	6851147	7230911	6974204	7013188	7043272	7075693	7096281	7109553	7121490	7133424	7144237	7156090	7169170	7182234	7189375
129	7337941	58388.98	7016559	7447717	7173449	7227544	7264111	7299207	7320340	7336286	7348132	7358420	7369643	7384334	7400208	7412791	7417836
130	7575771	52695.67	7368415	7682968	7444573	7471672	7503367	7536281	7558973	7570769	7582922	7595464	7607169	7620735	7636304	7645063	7651651
131	7814116	58908.28	7505772	7921235	7660762	7703985	7739858	7771454	7794142	7812126	7825447	7837867	7848495	7861015	7878040	7890176	7896057
132	8053280	59104.36	7752178	8167383	7904447	7941609	7971512	8010213	8034122	8048783	8061292	8074485	8089351	8102864	8118926	8131769	8139039
133	8303928	59300.8	7896782	8414614	8158814	8194342	8220504	8261703	8282621	8299495	8313378	8326953	8340327	8351732	8368253	8383224	8388943
134	8557146	66523.62	8137680	8689232	8388547	8438689	8472770	8510282	8534883	8550152	8567905	8582051	8596684	8610067	8629279	8641392	8651007
135	8821977	63892.03	8516299	8943767	8664227	8703622	8738334	8774837	8798118	8815444	8832230	8846338	8859566	8875211	8895408	8904138	8914409
136	9089484	65935.6	8799727	9210229	8911134	8961569	9000706	9042450	9066039	9083665	9098440	9115628	9130487	9146484	9164041	9176371	9182546
137	9366709	65219.77	9045492	9505461	9204203	9247564	9282757	9320613	9343103	9361899	9376847	9392214	9405982	9418188	9437248	9451105	9460736
138	9645354	69637.7	9282294	9766019	9448585	9516801	9560632	9596715	9620896	9640756	9658180	9672326	9685346	9702012	9721645	9734648	9742758
139	9927042	68346.41	9545583	10071338	9747763	9798018	9832479	9876194	9905459	9921582	9937605	9953219	9968654	9983070	9998758	10015793	10026142
140	10217931	70857.49	9711859	10343108	10039585	10087099	10128878	10163018	10195994	10214987	10230647	10243423	10258856	10274966	10292612	10309316	10318148
141	10516644	74654.4	10108511	10658325	10302133	10376944	10423314	10464202	10493147	10511029	10528967	10544737	10561764	10576654	10598475	10608783	10621506
142	10821364	76965.09	10391035	10964747	10620923	10676903	10722981	10763119	10792021	10816725	10837278	10851906	10865164	10883334	10906505	10921969	10930460
143	11132011	79095.39	10620093	11290806	10932456	10991502	11028362	11079707	11106414	11125895	11141428	11160249	11176971	11195767	11221270	11234122	11241494
144	11451099	81616.79	11005965	11611945	11228551	11297110	11344981	11397008	11423886	11444835	11466633	11482451	11496300	11515916	11537974	11556980	11568044
145	11777217	75970.99	11439452	11928192	11579691	11633348	11675493	11715553	11749360	11771081	11789328	11805841	11822921	11840383	11861292	11879203	11890089
146	12106267	81484.23	11635067	12278579	11901116	11955515	12001614	12049938	12079699	12101596	12119443	12137465	12155405	12173254	12192854	12209804	12217860
147	12442565	90922.83	11881505	12613417	12211109	12274669	12325766	12380332	12413028	12436238	12458446	12476187	12496486	12518059	12537497	12555755	12566000
148	12791785	85235.3	12396896	12957380	12570217	12632359	12674604	12725551	12759929	12786891	12810155	12825934	12840196	12862343	12889969	12904426	12912971
149	13145900	84919.8	12671753	13313357	12921125	12990062	13034469	13080708	13115470	13139930	13160314	13178172	13198000	13214821	13239413	13255030	13267962
150	13507169	85280.31	13112863	13683404	13287496	13342366	13389323	13443485	13476355	13503581	13519384	13537623	13557508	13578069	13602253	13620088	13632825
151	13876026	85485.12	13465242	14039665	13662081	13711689	13757504	13812322	13846430	13871539	13890615	13909502	13926827	13947254	13970205	13990355	14003864
152	14254609	90034.42	13814661	14415249	14021882	14073711	14142266	14188443	14224746	14249636	14271134	14286266	14309318	14328309	14350746	14372943	14384786
153	14633617	89037.86	14197657	14811922	14408212	14458515	14519709	14568992	14598286	14621365	14645372	14662636	14686056	14707864	14736944	14759864	14776640
154	15019866	99917.77	14312153	15206199	14754578	14834596	14894827	14953486	14989342	15013597	15035681	15057064	15078266	15098839	15123872	15147723	15155758
155	15421743	96362.91	14916930	15618784	15171935	15240310	15292222	15352798	15388404	15415522	15436665	15460326	15480745	15500700	15522345	15545710	15558602
