n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
152	382726.2	11773.57	342153	414561	356942	362797	367302	373192	377125	380258	383039	385698	389048	392323	397856	401432	403939
153	390133.3	11426.44	347764	427703	363566	370152	375398	381388	385433	388023	390424	392972	396274	399246	404003	407464	410357
154	397560.5	12103.28	356285	443056	370654	376270	381532	387844	391827	395288	398110	401031	403614	407349	412721	416242	418904
155	405952.2	11510.81	367011	437836	379406	386188	391000	396796	400541	403536	406427	409119	411636	415149	420684	424436	426721
156	413652.4	11549.70	358776	451475	386692	393801	398930	405162	408336	411407	414085	416816	419530	422859	427573	431827	433879
157	422379.7	12597.60	381772	465645	395788	400333	405692	411754	416054	419786	423269	425939	428788	432938	437790	441413	445391
158	428943.1	12313.52	378779	471490	402580	409654	413064	418177	422612	426433	429446	432863	435812	438950	444040	447831	449772
159	438512.1	12704.56	389198	484981	410587	416736	421734	428114	433097	435964	439350	442562	445532	448675	453518	458318	460486
160	446846.1	13015.99	403317	485753	419087	425155	429922	436852	440219	443948	446909	450639	453987	457654	463018	467153	471565
161	455446.2	13526.7	406208	491445	425874	431823	437487	444138	449312	453020	456080	459138	462293	466871	472012	477071	479968
162	464234.5	13740.60	418176	509071	431367	440805	445455	452799	458126	462147	465187	468342	471413	475202	480444	484878	488354
163	471843.3	13877.24	416376	519001	442657	448583	453289	461473	465521	469289	472261	475245	479061	483025	488610	494217	498221
164	480764.4	14228.88	422991	521586	449081	456445	462518	469511	474622	478277	481576	484071	488412	492387	498227	502812	505717
165	490470.6	14051.61	433927	529282	459147	465939	471862	479114	483784	487855	491148	494529	498068	502687	508133	512309	514728
166	498840.7	14274.65	445197	543952	468421	475884	480402	487514	491738	495562	498637	502007	506040	511202	516939	522196	524742
167	508070	15287.81	446764	558127	475383	482365	489183	496129	500601	504965	508213	511756	515748	520589	526450	532604	535781
168	517161.3	14619.02	464608	562756	483313	490568	497885	505534	511145	514166	517825	521677	525569	529704	533938	538846	542562
169	527254.7	14589.12	477763	577314	495051	502204	509311	515307	520220	523988	527387	531190	534727	539529	544886	550487	553827
170	537142.3	14882.22	481783	579167	503154	510944	517481	525306	530663	534580	537523	541190	545086	549428	555428	559830	562715
171	546703.9	15824.72	477734	596912	509549	518791	525585	534299	540221	544258	548007	551347	554976	559350	565061	569809	574379
172	555696.9	15729.99	496368	601506	522467	528361	535510	542814	548208	552154	556074	559968	563742	568687	575768	580495	585073
173	564949.8	15983.07	504178	608500	530424	537213	545081	552407	556960	561904	565658	569304	573588	578505	584346	589585	593060
174	575454.2	15877.02	518047	627102	540785	547309	553927	562332	567314	572139	576056	580305	584109	588584	594665	601013	604541
175	585647.9	16625.23	530774	631348	548844	556863	563748	571556	577778	582193	585970	590348	594378	600375	606980	611643	614498
176	594921.3	16057.96	546905	638772	559647	567240	575069	581546	586419	590497	595174	599140	603029	607808	615413	621850	624824
177	605430.2	17156.88	548539	654809	565806	575230	583950	592429	597310	601479	605535	609850	614013	619797	626485	632636	637022
178	615702.7	16866.37	550821	668461	576273	585361	592726	603194	608731	613285	616687	620785	624494	629127	636066	640343	643329
179	626869.5	17879.02	564030	693698	583759	595984	603745	612928	618553	623972	627702	631367	636013	641185	649326	654774	658722
